,,,,,,,,,
,LIMÓN,1GR,1GR,DECORATIVO ,,,,,
,,,,,,,,,
,,,,,,,,,
,BASTURMA ,CANTIDAD ,,,,,,,
,INGREDIENTES,60GR,120GR,DETALLE,PREPARACIÓN,,,,
,BASTURMA ,60GR,120GR,,,,,,
,CREMA LABNEH ,3GR,6GR,,,,,,
,ACEITUNAS,2UND,4UND,,,,,,
,PEREJIL,1GR,1GR,,,,,,
,ACEITE DE OLIVA,1ML,1ML,,,,,,
,,,,,,,,,
,,,,,,,,,
,ROLL DE KAFTA,CANTIDAD ,,,,,,,
,INGREDIENTES,6 UND,12 UND ,DETALLE,PREPARACIÓN,,,,
,ROLL DE KAFTA,6 UND,12 UND ,,,,,,
,YOGURT ,10GR,10GR,,,,,,
,TARATOR,30GR ,30GR,,,,,,
,TABASCO ,2,2,GOTAS,,,,,
,GRANADA LÍQUIDA,1GR,1GR,,,,,,
,GRANADA,2GR,4GR,,,,,,
,SALSA NÁPOLE,2GR,2GR,,,,,,
,HIERBABUENA ,2GR,2GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,HAMBURGUESA ÁRABE,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,HAMBURGUESA ÁRABE,CANTIDAD ,,,,,,,
,INGREDIENTES,350GR,,DETALLE,PREPARACIÓN,,,,
,PAN,100GR,,,,,,,
,KAFTA,2UND,,,,,,,
,SHANKLISH TRADICIONAL,2GR,,,,,,,
,CEBOLLA CARAMELIZADA,4GR,,,,,,,
,TABULE,4GR,,,,,,,
,CREMA LABNEH,2GR,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ARMA TU SHANKLISH CARACAS ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ARMA TU SHANKLISH CARACAS,,,,,,,,
,INGREDIENTES,CANTIDAD ,,,PREPARACIÓN,,,,
,1 PLATO PRINCIPAL,,,,PUEDES ESCOGER 1 OPCIÓN DE ESTOS  PLATOS PRINCIPALES ,,,,
,KIBBE FRITO,5UND,,,,,,,
,MINI KIBBE FRITO,10 UND ,,,,,,,
,KIBBE HORNEADO,250GR,,,,,,,
,KIBBE CRUDO,250GR,,,,,,,
,FALAFEL,7 FALAFEL,,,,,,,
,PINCHOS CARNE/POLLO Y MIXTO,3 UND,,,,,,,
,ARROZ CON POLLO LIBANÉS,250GR,,,,,,,
,TABAQUITOS ,10 UND ,,,,,,,
,TODOS LOS SHAWARMA ,250GR,,,,,,,
,2  ACOMPAÑANTES ,,,,,,,,
,SHANKLISH TRADICIONAL ,50GR,,,PUEDES ESCOGER 2 OPCIONES,,,,
,SHANKLISH TRADICIONAL PICANTE,50GR,,,,,,,
,SHANKLISH TOMATE SECO,50GR,,,,,,,
,SHANKLISH DE PESTO,50GR,,,,,,,
,SHANKLISH MEREY Y MIEL,50GR,,,,,,,
,CREMA HUMMUS,50GR,,,,,,,
,CREMA HUMMUS ESPECIAL,50GR,,,,,,,
,CREMA BABAGANOUSH,50GR,,,,,,,
,CREMA MUHAMMARA,50GR,,,,,,,
,CREMA DE TAHINI,50GR,,,,,,,
,CREMA LABNEH,50GR,,,,,,,
,CREMA LABAN BI KHIAR,50GR,,,,,,,
,CREMA TOUM,50GR,,,,,,,
,TABULE,120GR,,,,,,,
,FATTOUSH,120GR,,,,,,,
,FATULE,120GR,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ARMA TU TABLA ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ARMA TU TABLA (1 PERSONA) ,,,,,,,,
,INGREDIENTES,CANTIDAD ,,,PREPARACIÓN,,,,
