,,,,,,,,
,Aceite de Oliva,80,GR,,,,,
,Huevos,70,GR,,,,,
,Sal,15,GR,,,,,
,Azucar,10,GR,,,,,
,Leche,50,GR,,,,,
,Guiso de Chocozuela,1,KG,,,,,
,Melaza de Granada,75,80,,,,,
,Sumac,20,20,,,,,
,Zaatar,7,GR,,,,,
,Oliva,20,GR,,,,,
,,,,,,,,
,Empanadas Sambusik Relleno,,,,,,,
,,Cantidad ,Medida,,,,,
,Guiso de Kibbe,1,KG,,,,,
,Melaza,80,GR,,,,,
,Zumack,20,GR,,,,,
,Zaatar,8,GR,,,,,
,Olivar,20,GR,,,,,
,,,,,,,,
,Garbanzo para Falafel ,,,,,,,
,,PROCESO,,,,,,
,Garbanzo ,"Se debe poner a remojar 12 h en agua, Luego se debe lavar muy bien varias veces hasta eliminar el olor y la babosidad ",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Garbanzo para Crema de Garbanzo,,,,,,,
,,Cantidad ,Medida,,,,,
,GARBANZO GRANO GRANDE YA REMOJADO ,10 KG ,KG,,,,,
,BICARBONATO ,1,PIZCA,,,,,
,AGUA ,1,TOPE DE OLLA,,,,,
,,,,,,,,
,Berenjena Asada,,,,,,,
,,PROCESO,,,,,,
,Berenjena,"Se debe asar muy bien, pelar y limpiar, no puede tener exceso de Semillas. Pelarlo debe ser rapido, si dejan mucho tiempo la piel se pone oscura la berenjena. Se porciona en bolsas de 920 Gr",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Caramelo de Baklawa,,,,,,,
,,Cantidad ,Medida,,,,,
,Azucar,1,KG,,,,,
,Agua,750,GR,,,,,
,Limon,60,ML,,,,,
,Agua de Rosas,30,ML,,,,,
,Flor de Naranjo,30,ML,,,,,
,,,,,,,,
,Baklawa Pistacho,,,,,,,
,,Cantidad ,Medida,,,,,
,Pistacho Molido,100,GR,,,,,
,Azucar Refinada,30,30,,,,,
,Canela en Polvo ,1,1,,,,,
,,,,,,,,
,,,,,,,,
,Baklawa Choco-Avellanas,,,,,,,
,,Cantidad ,Medida,,,,,
,Avellanas limpias y molidas,100,GR,,,,,
,Cacao en polvo,5,GR,,,,,
,Azucar refinada,30,GR,,,,,
,,,,,,,,
,Kafta,CADA UND PESA 90GR,,,,,,
,,Cantidad ,Medida,,,,,
,Cardamomo,5,GR,,,,,
,Pimienta negra,11,GR,,,,,
,Paprika,10,GR,,,,,
,Nuez Moscada,8,GR,,,,,
,Pimienta Guayaba ,8,GR,,,,,
,Sumac,15,GR,,,,,
,Perejil,50,GR,,,,,
,Cebolla,500,GR,,,,,
,Oliva,200,ML,,,,,
,7 especias,13,GR,,,,,
,Pimienta Cayena,5,GR,,,,,
,Cordero,2,KG,,,,,
,Lomito,2,KG,,,,,
,Harissa,40,GR,,,,,
,Sal,80,GR,,,,,
,,,,,,,,
,Pan de Yuca,,,,,,,
,,Cantidad,Medida,,,,,
,Yuca,1,KG,,,,,
,Sal,8,GR,,,,,
,Aceite de Oliva,20,GR,,,,,
,,,,,,,,
,Reducción de Papelón ,,,,,,,
,,Cantidad,Medida,,,,,
,Papelón,500,GR,,,,,
,Malta,1,UND ,,,,,
,Agua,100,ML,,,,,
,,,,,,,,
,,,,,,,,
,Garbanzo para decorar,,,,,,,
,garbanzo cocido,,,,,,,
,,,,,,,,
,Carne de Hamburguesa Shanklish,,,,,,,
,,Cantidad ,Medida,,,,,
,Cardamomo,5,GR,,,,,
,Pimienta negra,11,GR,,,,,
,Paprika,10,GR,,,,,
,Nuez Moscada,8,GR,,,,,
,Pimienta Guayaba ,8,GR,,,,,
,Sumac,15,GR,,,,,
,Perejil,50,GR,,,,,
,Cebolla,500,GR,,,,,
,Oliva,200,ML,,,,,
,7 especias,13,GR,,,,,
,Pimienta Cayena,5,GR,,,,,
,Cordero,2,KG,,,,,
,Lomito,2,KG,,,,,
,Harissa,40,GR,,,,,
,Sal,80,GR,,,,,
,,,,,,,,
,Carne de Hamburguesa TP,CADA DISCO DE HAMBURGUESA  PESA 100GR Y LLEVAN 2 DISCOS ,,,,,,
,,Cantidad ,Medida,,,,,
,Solomo,500,GR,,,,,
,Carne de pecho ,500,GR,,,,,
,Sal,6,GR,,,,,
,,,,,,,,
,Roll de Kafta,POR CADA PAN LLEVA 150GR DE LA MEZCLA DE KAFTA ,,,SALEN 30 DE CADA ROLLO DE PAN ,,,
,,,,,,,,
,,Cantidad ,Medida,,,,,
,Pan Sajaj,1,UND,,,,,
,Cardamomo,5,GR,,,,,
,Pimienta negra,11,GR,,,,,
,Paprika,10,GR,,,,,
,Nuez Moscada,8,GR,,,,,
,Pimienta Guayaba ,8,GR,,,,,
,Sumac,15,GR,,,,,
,Perejil,50,GR,,,,,
,Cebolla,500,GR,,,,,
,Oliva,200,ML,,,,,
,7 especias,13,GR,,,,,
,Pimienta Cayena,5,GR,,,,,
,Cordero,2,KG,,,,,
,Lomito,2,KG,,,,,
,Harissa,40,GR,,,,,
,Sal,80,GR,,,,,
,,,,,,,,
,,,,,,,,
,SALSA NÁPOLE ,,,,,,,
,AGUA,200,ML,,,,,
,TOMATE,1,KG,,,,,
,ACEITE DE OLIVA,100,ML,,,,,
,OREGANO,15,GR,,,,,
,SAL ,13,GR,,,,,
